user_id,signup_date,credit_score_bucket,income_level,test_group
USER_00101,2024-01-12 00:00:00,Fair,Medium,treatment
USER_00102,2024-01-03 00:00:00,Fair,Medium,control
USER_00103,2024-01-15 00:00:00,Good,High,treatment
USER_00104,2024-01-28 00:00:00,Excellent,Medium,control
USER_00105,2024-01-08 00:00:00,Fair,High,treatment
USER_00106,2024-01-06 00:00:00,Excellent,Low,control
USER_00107,2024-01-12 00:00:00,Fair,Low,treatment
USER_00108,2024-01-24 00:00:00,Fair,High,control
USER_00109,2024-01-10 00:00:00,Fair,Medium,treatment
USER_00110,2024-01-21 00:00:00,Fair,Medium,treatment
USER_00111,2024-01-21 00:00:00,Excellent,Medium,control
USER_00112,2024-01-26 00:00:00,Fair,Medium,treatment
USER_00113,2024-01-28 00:00:00,Good,High,control
USER_00114,2024-01-12 00:00:00,Good,Medium,treatment
USER_00115,2024-01-15 00:00:00,Poor,Medium,treatment
USER_00116,2024-01-10 00:00:00,Fair,Medium,control
USER_00117,2024-01-13 00:00:00,Good,Medium,control
USER_00118,2024-01-21 00:00:00,Good,Low,treatment
USER_00119,2024-01-19 00:00:00,Good,Low,control
USER_00120,2024-01-05 00:00:00,Excellent,Low,treatment
USER_00121,2024-01-13 00:00:00,Fair,Low,control
USER_00122,2024-01-20 00:00:00,Excellent,Medium,treatment
USER_00123,2024-01-08 00:00:00,Good,Low,control
USER_00124,2024-01-17 00:00:00,Excellent,Medium,control
USER_00125,2024-01-20 00:00:00,Good,Medium,treatment
USER_00126,2024-01-29 00:00:00,Excellent,High,treatment
USER_00127,2024-01-13 00:00:00,Excellent,Low,treatment
USER_00128,2024-01-23 00:00:00,Fair,Medium,treatment
USER_00129,2024-01-04 00:00:00,Poor,Medium,treatment
USER_00130,2024-01-29 00:00:00,Poor,Medium,control
USER_00131,2024-01-07 00:00:00,Poor,Medium,treatment
USER_00132,2024-01-14 00:00:00,Fair,Medium,treatment
USER_00133,2024-01-14 00:00:00,Good,Medium,control
USER_00134,2024-01-19 00:00:00,Good,Medium,control
USER_00135,2024-01-08 00:00:00,Excellent,Low,treatment
USER_00136,2024-01-11 00:00:00,Good,Medium,treatment
USER_00137,2024-01-16 00:00:00,Good,High,treatment
USER_00138,2024-01-06 00:00:00,Good,High,treatment
USER_00139,2024-01-21 00:00:00,Good,Medium,control
USER_00140,2024-01-08 00:00:00,Good,High,control
USER_00141,2024-01-12 00:00:00,Excellent,High,treatment
USER_00142,2024-01-16 00:00:00,Good,Medium,control
USER_00143,2024-01-23 00:00:00,Good,Low,treatment
USER_00144,2024-01-06 00:00:00,Good,Low,treatment
USER_00145,2024-01-20 00:00:00,Excellent,Medium,treatment
USER_00146,2024-01-02 00:00:00,Good,Medium,control
USER_00147,2024-01-12 00:00:00,Fair,Low,treatment
USER_00148,2024-01-17 00:00:00,Excellent,Low,treatment
USER_00149,2024-01-25 00:00:00,Excellent,Low,control
USER_00150,2024-01-26 00:00:00,Good,Medium,treatment
USER_00151,2024-01-03 00:00:00,Excellent,Low,treatment
USER_00152,2024-01-25 00:00:00,Good,Medium,treatment
USER_00153,2024-01-29 00:00:00,Fair,High,treatment
USER_00154,2024-01-09 00:00:00,Good,Low,treatment
USER_00155,2024-01-24 00:00:00,Fair,Low,treatment
USER_00156,2024-01-22 00:00:00,Excellent,Medium,control
USER_00157,2024-01-17 00:00:00,Fair,Low,control
USER_00158,2024-01-18 00:00:00,Excellent,Medium,treatment
USER_00159,2024-01-05 00:00:00,Fair,Medium,treatment
USER_00160,2024-01-15 00:00:00,Excellent,High,treatment
USER_00161,2024-01-19 00:00:00,Good,Low,control
USER_00162,2024-01-25 00:00:00,Excellent,Low,treatment
USER_00163,2024-01-10 00:00:00,Fair,High,control
USER_00164,2024-01-29 00:00:00,Fair,High,treatment
USER_00165,2024-01-01 00:00:00,Excellent,Medium,treatment
USER_00166,2024-01-15 00:00:00,Excellent,Medium,treatment
USER_00167,2024-01-06 00:00:00,Fair,High,treatment
USER_00168,2024-01-02 00:00:00,Fair,Low,control
USER_00169,2024-01-02 00:00:00,Good,Low,treatment
USER_00170,2024-01-31 00:00:00,Good,Medium,control
USER_00171,2024-01-03 00:00:00,Good,Medium,control
USER_00172,2024-01-04 00:00:00,Good,High,control
USER_00173,2024-01-30 00:00:00,Excellent,High,treatment
USER_00174,2024-01-03 00:00:00,Fair,High,control
USER_00175,2024-01-25 00:00:00,Fair,High,control
USER_00176,2024-01-17 00:00:00,Poor,Medium,treatment
USER_00177,2024-01-31 00:00:00,Good,Medium,control
USER_00178,2024-01-20 00:00:00,Excellent,High,treatment
USER_00179,2024-01-22 00:00:00,Good,Medium,control
USER_00180,2024-01-17 00:00:00,Excellent,Medium,control
USER_00181,2024-01-31 00:00:00,Good,Medium,control
USER_00182,2024-01-18 00:00:00,Good,Medium,control
USER_00183,2024-01-09 00:00:00,Excellent,Medium,control
USER_00184,2024-01-12 00:00:00,Good,High,control
USER_00185,2024-01-21 00:00:00,Poor,High,treatment
USER_00186,2024-01-31 00:00:00,Poor,Low,treatment
USER_00187,2024-01-05 00:00:00,Excellent,Low,control
USER_00188,2024-01-20 00:00:00,Poor,High,treatment
USER_00189,2024-01-17 00:00:00,Good,Medium,control
USER_00190,2024-01-27 00:00:00,Fair,Medium,treatment
USER_00191,2024-01-19 00:00:00,Excellent,Medium,treatment
USER_00192,2024-01-14 00:00:00,Poor,Medium,treatment
USER_00193,2024-01-27 00:00:00,Excellent,Medium,control
USER_00194,2024-01-03 00:00:00,Fair,Medium,control
USER_00195,2024-01-15 00:00:00,Good,Medium,treatment
USER_00196,2024-01-24 00:00:00,Fair,Medium,control
USER_00197,2024-01-10 00:00:00,Good,Low,control
USER_00198,2024-01-15 00:00:00,Fair,High,control
USER_00199,2024-01-04 00:00:00,Good,Low,control
USER_00200,2024-01-27 00:00:00,Good,Medium,treatment
USER_00201,2024-01-12 00:00:00,Fair,Medium,control
USER_00202,2024-01-04 00:00:00,Fair,Medium,control
USER_00203,2024-01-20 00:00:00,Good,High,control
USER_00204,2024-01-21 00:00:00,Poor,Medium,control
USER_00205,2024-01-27 00:00:00,Good,Medium,control
USER_00206,2024-01-14 00:00:00,Fair,Medium,treatment
USER_00207,2024-01-13 00:00:00,Fair,Medium,treatment
USER_00208,2024-01-06 00:00:00,Excellent,High,treatment
USER_00209,2024-01-15 00:00:00,Good,Low,control
USER_00210,2024-01-14 00:00:00,Fair,Medium,treatment
USER_00211,2024-01-30 00:00:00,Fair,Low,control
USER_00212,2024-01-20 00:00:00,Excellent,High,control
USER_00213,2024-01-24 00:00:00,Good,Medium,treatment
USER_00214,2024-01-17 00:00:00,Fair,Medium,control
USER_00215,2024-01-31 00:00:00,Fair,Medium,treatment
USER_00216,2024-01-08 00:00:00,Excellent,High,control
USER_00217,2024-01-31 00:00:00,Fair,Low,treatment
USER_00218,2024-01-26 00:00:00,Fair,Medium,treatment
USER_00219,2024-01-26 00:00:00,Fair,Medium,control
USER_00220,2024-01-14 00:00:00,Good,Medium,treatment
USER_00221,2024-01-02 00:00:00,Fair,Medium,control
USER_00222,2024-01-16 00:00:00,Good,Medium,control
USER_00223,2024-01-09 00:00:00,Good,Medium,treatment
USER_00224,2024-01-19 00:00:00,Poor,Medium,control
USER_00225,2024-01-06 00:00:00,Good,Medium,control
USER_00226,2024-01-17 00:00:00,Good,Low,treatment
USER_00227,2024-01-18 00:00:00,Poor,Low,treatment
USER_00228,2024-01-27 00:00:00,Good,Medium,treatment
USER_00229,2024-01-09 00:00:00,Good,Medium,treatment
USER_00230,2024-01-08 00:00:00,Poor,Low,treatment
USER_00231,2024-01-03 00:00:00,Fair,Medium,control
USER_00232,2024-01-07 00:00:00,Good,Medium,control
USER_00233,2024-01-09 00:00:00,Fair,Medium,control
USER_00234,2024-01-21 00:00:00,Excellent,Medium,control
USER_00235,2024-01-12 00:00:00,Poor,Medium,control
USER_00236,2024-01-23 00:00:00,Excellent,Medium,control
USER_00237,2024-01-07 00:00:00,Poor,Medium,treatment
USER_00238,2024-01-18 00:00:00,Good,High,treatment
USER_00239,2024-01-08 00:00:00,Excellent,Low,control
USER_00240,2024-01-18 00:00:00,Poor,Medium,control
USER_00241,2024-01-27 00:00:00,Excellent,Medium,treatment
USER_00242,2024-01-05 00:00:00,Fair,High,treatment
USER_00243,2024-01-06 00:00:00,Good,Medium,control
USER_00244,2024-01-12 00:00:00,Fair,Medium,treatment
USER_00245,2024-01-18 00:00:00,Good,Medium,control
USER_00246,2024-01-15 00:00:00,Good,Medium,treatment
USER_00247,2024-01-20 00:00:00,Fair,Medium,control
USER_00248,2024-01-03 00:00:00,Fair,Low,treatment
USER_00249,2024-01-07 00:00:00,Good,Medium,treatment
USER_00250,2024-01-18 00:00:00,Good,Medium,treatment
USER_00251,2024-01-08 00:00:00,Excellent,Low,control
USER_00252,2024-01-22 00:00:00,Fair,Low,control
USER_00253,2024-01-24 00:00:00,Good,Medium,control
USER_00254,2024-01-02 00:00:00,Excellent,Low,treatment
USER_00255,2024-01-16 00:00:00,Fair,Medium,control
USER_00256,2024-01-22 00:00:00,Good,Medium,treatment
USER_00257,2024-01-06 00:00:00,Good,Medium,treatment
USER_00258,2024-01-02 00:00:00,Good,Medium,treatment
USER_00259,2024-01-04 00:00:00,Excellent,Medium,treatment
USER_00260,2024-01-12 00:00:00,Good,High,control
USER_00261,2024-01-07 00:00:00,Good,Medium,control
USER_00262,2024-01-22 00:00:00,Good,Medium,treatment
USER_00263,2024-01-13 00:00:00,Good,Medium,control
USER_00264,2024-01-31 00:00:00,Excellent,Medium,control
USER_00265,2024-01-09 00:00:00,Good,High,control
USER_00266,2024-01-25 00:00:00,Fair,Medium,control
USER_00267,2024-01-05 00:00:00,Excellent,Medium,control
USER_00268,2024-01-06 00:00:00,Fair,Medium,control
USER_00269,2024-01-02 00:00:00,Poor,Low,treatment
USER_00270,2024-01-20 00:00:00,Good,Low,control
USER_00271,2024-01-25 00:00:00,Fair,Low,treatment
USER_00272,2024-01-25 00:00:00,Good,Medium,treatment
USER_00273,2024-01-12 00:00:00,Good,Medium,control
USER_00274,2024-01-16 00:00:00,Good,High,treatment
USER_00275,2024-01-12 00:00:00,Fair,Medium,control
USER_00276,2024-01-31 00:00:00,Fair,High,treatment
USER_00277,2024-01-02 00:00:00,Poor,Medium,control
USER_00278,2024-01-25 00:00:00,Excellent,Medium,control
USER_00279,2024-01-30 00:00:00,Excellent,Low,control
USER_00280,2024-01-04 00:00:00,Fair,Low,treatment
USER_00281,2024-01-22 00:00:00,Fair,Medium,treatment
USER_00282,2024-01-11 00:00:00,Excellent,Medium,treatment
USER_00283,2024-01-04 00:00:00,Fair,Low,control
USER_00284,2024-01-10 00:00:00,Excellent,Low,treatment
USER_00285,2024-01-25 00:00:00,Good,Medium,treatment
USER_00286,2024-01-21 00:00:00,Excellent,Low,treatment
USER_00287,2024-01-31 00:00:00,Poor,Medium,treatment
USER_00288,2024-01-03 00:00:00,Poor,High,treatment
USER_00289,2024-01-11 00:00:00,Good,Low,treatment
USER_00290,2024-01-31 00:00:00,Excellent,Medium,control
USER_00291,2024-01-29 00:00:00,Good,Medium,control
USER_00292,2024-01-14 00:00:00,Good,Medium,treatment
USER_00293,2024-01-13 00:00:00,Fair,Medium,control
USER_00294,2024-01-21 00:00:00,Good,Medium,control
USER_00295,2024-01-28 00:00:00,Fair,Medium,control
USER_00296,2024-01-19 00:00:00,Good,Medium,control
USER_00297,2024-01-03 00:00:00,Excellent,Medium,control
USER_00298,2024-01-03 00:00:00,Good,Medium,treatment
USER_00299,2024-01-11 00:00:00,Fair,Medium,control
USER_00300,2024-01-08 00:00:00,Good,Medium,treatment
USER_00301,2024-01-21 00:00:00,Good,High,control
USER_00302,2024-01-30 00:00:00,Excellent,Medium,control
USER_00303,2024-01-08 00:00:00,Good,Low,treatment
USER_00304,2024-01-29 00:00:00,Excellent,Low,treatment
USER_00305,2024-01-03 00:00:00,Fair,High,control
USER_00306,2024-01-25 00:00:00,Good,Medium,treatment
USER_00307,2024-01-26 00:00:00,Excellent,Medium,control
USER_00308,2024-01-17 00:00:00,Excellent,Medium,control
USER_00309,2024-01-03 00:00:00,Fair,High,control
USER_00310,2024-01-04 00:00:00,Poor,High,treatment
USER_00311,2024-01-09 00:00:00,Excellent,High,control
USER_00312,2024-01-14 00:00:00,Fair,High,control
USER_00313,2024-01-22 00:00:00,Fair,High,control
USER_00314,2024-01-19 00:00:00,Excellent,Medium,treatment
USER_00315,2024-01-16 00:00:00,Good,Medium,control
USER_00316,2024-01-22 00:00:00,Good,Medium,treatment
USER_00317,2024-01-03 00:00:00,Fair,Medium,control
USER_00318,2024-01-27 00:00:00,Excellent,Medium,treatment
USER_00319,2024-01-25 00:00:00,Excellent,Medium,control
USER_00320,2024-01-30 00:00:00,Fair,Low,control
USER_00321,2024-01-16 00:00:00,Excellent,Medium,treatment
USER_00322,2024-01-12 00:00:00,Poor,Medium,control
USER_00323,2024-01-13 00:00:00,Excellent,Medium,control
USER_00324,2024-01-29 00:00:00,Excellent,Medium,treatment
USER_00325,2024-01-02 00:00:00,Good,Medium,treatment
USER_00326,2024-01-19 00:00:00,Poor,High,treatment
USER_00327,2024-01-05 00:00:00,Good,Medium,treatment
USER_00328,2024-01-26 00:00:00,Good,Medium,control
USER_00329,2024-01-24 00:00:00,Good,Medium,treatment
USER_00330,2024-01-28 00:00:00,Good,Medium,control
USER_00331,2024-01-24 00:00:00,Good,Low,treatment
USER_00332,2024-01-24 00:00:00,Excellent,Medium,control
USER_00333,2024-01-04 00:00:00,Fair,Low,treatment
USER_00334,2024-01-25 00:00:00,Poor,High,control
USER_00335,2024-01-13 00:00:00,Excellent,Medium,treatment
USER_00336,2024-01-29 00:00:00,Fair,Low,treatment
USER_00337,2024-01-08 00:00:00,Good,Medium,control
USER_00338,2024-01-26 00:00:00,Fair,Medium,control
USER_00339,2024-01-15 00:00:00,Fair,High,treatment
USER_00340,2024-01-21 00:00:00,Excellent,Medium,treatment
USER_00341,2024-01-13 00:00:00,Fair,Medium,treatment
USER_00342,2024-01-06 00:00:00,Fair,High,treatment
USER_00343,2024-01-28 00:00:00,Good,High,control
USER_00344,2024-01-13 00:00:00,Good,Medium,treatment
USER_00345,2024-01-04 00:00:00,Fair,Medium,treatment
USER_00346,2024-01-26 00:00:00,Excellent,Medium,control
USER_00347,2024-01-22 00:00:00,Fair,Medium,treatment
USER_00348,2024-01-04 00:00:00,Good,High,control
USER_00349,2024-01-09 00:00:00,Good,High,control
USER_00350,2024-01-23 00:00:00,Fair,Medium,treatment
USER_00351,2024-01-29 00:00:00,Good,Medium,treatment
USER_00352,2024-01-01 00:00:00,Fair,High,treatment
USER_00353,2024-01-27 00:00:00,Excellent,Low,treatment
USER_00354,2024-01-25 00:00:00,Excellent,Medium,control
USER_00355,2024-01-15 00:00:00,Fair,Medium,treatment
USER_00356,2024-01-04 00:00:00,Excellent,Medium,control
USER_00357,2024-01-23 00:00:00,Good,Medium,control
USER_00358,2024-01-04 00:00:00,Good,Low,control
USER_00359,2024-01-25 00:00:00,Fair,Low,control
USER_00360,2024-01-16 00:00:00,Good,Low,treatment
USER_00361,2024-01-28 00:00:00,Fair,Medium,treatment
USER_00362,2024-01-19 00:00:00,Good,Medium,control
USER_00363,2024-01-27 00:00:00,Good,High,control
USER_00364,2024-01-20 00:00:00,Good,High,treatment
USER_00365,2024-01-18 00:00:00,Fair,Medium,treatment
USER_00366,2024-01-11 00:00:00,Fair,Medium,control
USER_00367,2024-01-09 00:00:00,Good,Medium,treatment
USER_00368,2024-01-03 00:00:00,Poor,Medium,control
USER_00369,2024-01-15 00:00:00,Fair,Medium,treatment
USER_00370,2024-01-23 00:00:00,Fair,Medium,control
USER_00371,2024-01-14 00:00:00,Excellent,Medium,control
USER_00372,2024-01-17 00:00:00,Good,Medium,treatment
USER_00373,2024-01-04 00:00:00,Excellent,Low,treatment
USER_00374,2024-01-15 00:00:00,Poor,Medium,treatment
USER_00375,2024-01-08 00:00:00,Good,Medium,treatment
USER_00376,2024-01-30 00:00:00,Good,Medium,control
USER_00377,2024-01-14 00:00:00,Good,Low,control
USER_00378,2024-01-17 00:00:00,Good,High,treatment
USER_00379,2024-01-08 00:00:00,Fair,Low,treatment
USER_00380,2024-01-06 00:00:00,Good,Medium,treatment
USER_00381,2024-01-31 00:00:00,Good,Medium,treatment
USER_00382,2024-01-27 00:00:00,Good,Medium,treatment
USER_00383,2024-01-01 00:00:00,Good,Low,control
USER_00384,2024-01-09 00:00:00,Poor,Medium,treatment
USER_00385,2024-01-19 00:00:00,Excellent,Medium,control
USER_00386,2024-01-14 00:00:00,Good,High,control
USER_00387,2024-01-16 00:00:00,Good,Medium,control
USER_00388,2024-01-24 00:00:00,Fair,Low,control
USER_00389,2024-01-23 00:00:00,Good,Medium,control
USER_00390,2024-01-16 00:00:00,Fair,Medium,treatment
USER_00391,2024-01-15 00:00:00,Fair,Medium,treatment
USER_00392,2024-01-12 00:00:00,Poor,High,treatment
USER_00393,2024-01-27 00:00:00,Good,Medium,control
USER_00394,2024-01-22 00:00:00,Good,High,treatment
USER_00395,2024-01-18 00:00:00,Fair,Medium,control
USER_00396,2024-01-29 00:00:00,Good,Low,control
USER_00397,2024-01-27 00:00:00,Good,Medium,control
USER_00398,2024-01-17 00:00:00,Fair,Medium,treatment
USER_00399,2024-01-17 00:00:00,Excellent,High,control
USER_00400,2024-01-26 00:00:00,Excellent,High,control
USER_00401,2024-01-17 00:00:00,Good,Low,control
USER_00402,2024-01-12 00:00:00,Excellent,Medium,treatment
USER_00403,2024-01-14 00:00:00,Poor,Medium,control
USER_00404,2024-01-28 00:00:00,Excellent,Medium,treatment
USER_00405,2024-01-16 00:00:00,Fair,Medium,control
USER_00406,2024-01-31 00:00:00,Fair,Medium,treatment
USER_00407,2024-01-15 00:00:00,Fair,Medium,control
USER_00408,2024-01-09 00:00:00,Poor,Low,control
USER_00409,2024-01-31 00:00:00,Good,Medium,control
USER_00410,2024-01-24 00:00:00,Good,Medium,control
USER_00411,2024-01-15 00:00:00,Poor,High,treatment
USER_00412,2024-01-08 00:00:00,Good,Medium,treatment
USER_00413,2024-01-06 00:00:00,Good,Low,control
USER_00414,2024-01-16 00:00:00,Fair,High,control
USER_00415,2024-01-03 00:00:00,Fair,Medium,treatment
USER_00416,2024-01-25 00:00:00,Good,Medium,control
USER_00417,2024-01-19 00:00:00,Excellent,Low,treatment
USER_00418,2024-01-17 00:00:00,Fair,Medium,control
USER_00419,2024-01-29 00:00:00,Good,Medium,treatment
USER_00420,2024-01-21 00:00:00,Fair,High,control
USER_00421,2024-01-20 00:00:00,Fair,Medium,control
USER_00422,2024-01-23 00:00:00,Good,Medium,control
USER_00423,2024-01-09 00:00:00,Fair,Medium,treatment
USER_00424,2024-01-14 00:00:00,Good,High,treatment
USER_00425,2024-01-10 00:00:00,Fair,Medium,treatment
USER_00426,2024-01-12 00:00:00,Fair,Low,control
USER_00427,2024-01-13 00:00:00,Good,Low,control
USER_00428,2024-01-30 00:00:00,Excellent,Medium,control
USER_00429,2024-01-17 00:00:00,Good,High,treatment
USER_00430,2024-01-25 00:00:00,Poor,Medium,control
USER_00431,2024-01-08 00:00:00,Fair,Medium,treatment
USER_00432,2024-01-30 00:00:00,Good,High,control
USER_00433,2024-01-05 00:00:00,Good,Medium,control
USER_00434,2024-01-17 00:00:00,Fair,Medium,control
USER_00435,2024-01-05 00:00:00,Fair,Medium,control
USER_00436,2024-01-07 00:00:00,Poor,Medium,treatment
USER_00437,2024-01-10 00:00:00,Fair,Medium,treatment
USER_00438,2024-01-30 00:00:00,Fair,High,treatment
USER_00439,2024-01-24 00:00:00,Good,High,control
USER_00440,2024-01-19 00:00:00,Good,Medium,control
USER_00441,2024-01-31 00:00:00,Good,High,control
USER_00442,2024-01-26 00:00:00,Excellent,High,treatment
USER_00443,2024-01-12 00:00:00,Good,Medium,control
USER_00444,2024-01-19 00:00:00,Good,Low,control
USER_00445,2024-01-09 00:00:00,Fair,Medium,treatment
USER_00446,2024-01-22 00:00:00,Good,Medium,treatment
USER_00447,2024-01-15 00:00:00,Good,Low,treatment
USER_00448,2024-01-05 00:00:00,Fair,Medium,control
USER_00449,2024-01-13 00:00:00,Excellent,Medium,control
USER_00450,2024-01-12 00:00:00,Fair,Low,control
USER_00451,2024-01-02 00:00:00,Good,Medium,treatment
USER_00452,2024-01-29 00:00:00,Fair,Medium,control
USER_00453,2024-01-27 00:00:00,Good,High,treatment
USER_00454,2024-01-13 00:00:00,Good,Medium,control
USER_00455,2024-01-19 00:00:00,Good,High,control
USER_00456,2024-01-30 00:00:00,Fair,Medium,control
USER_00457,2024-01-22 00:00:00,Excellent,Medium,treatment
USER_00458,2024-01-07 00:00:00,Good,Medium,treatment
USER_00459,2024-01-30 00:00:00,Excellent,Medium,treatment
USER_00460,2024-01-23 00:00:00,Good,Medium,treatment
USER_00461,2024-01-24 00:00:00,Good,High,treatment
USER_00462,2024-01-28 00:00:00,Good,Medium,control
USER_00463,2024-01-29 00:00:00,Good,Medium,control
USER_00464,2024-01-24 00:00:00,Fair,Medium,control
USER_00465,2024-01-30 00:00:00,Fair,Low,treatment
USER_00466,2024-01-31 00:00:00,Good,Medium,treatment
USER_00467,2024-01-05 00:00:00,Poor,Medium,control
USER_00468,2024-01-24 00:00:00,Good,Medium,treatment
USER_00469,2024-01-10 00:00:00,Good,Medium,treatment
USER_00470,2024-01-28 00:00:00,Fair,Low,treatment
USER_00471,2024-01-08 00:00:00,Excellent,Medium,treatment
USER_00472,2024-01-20 00:00:00,Good,High,treatment
USER_00473,2024-01-10 00:00:00,Fair,Medium,treatment
USER_00474,2024-01-04 00:00:00,Excellent,Low,control
USER_00475,2024-01-04 00:00:00,Fair,Low,treatment
